Case,Activity,Timestamp,Resource,label
2783345,01_HOOFD_010,2010-10-06 22:00:00,2670601,deviant
2783345,01_HOOFD_065_2,2010-10-10 22:00:00,2670601,deviant
2783345,01_HOOFD_100,2010-10-10 22:00:00,2670601,deviant
2783345,01_HOOFD_190_2,2010-10-10 22:00:00,2670601,deviant
2783345,01_HOOFD_190_2,2010-10-18 22:00:00,2670601,deviant
2783345,08_AWB45_020_2,2010-11-16 23:00:00,2670601,deviant
2783345,08_AWB45_040,2010-11-23 23:00:00,2670601,deviant
2783345,01_HOOFD_015,2010-12-01 09:27:11,2670601,deviant
2783345,01_HOOFD_020,2010-12-01 09:27:17,2670601,deviant
2783345,01_HOOFD_040,2010-12-01 09:27:23,2670601,deviant
2783345,01_HOOFD_060,2010-12-01 09:27:30,2670601,deviant
2783345,01_HOOFD_065_1,2010-12-01 09:27:32,2670601,deviant
2783345,06_VD_010,2010-12-01 09:27:48,2670601,deviant
2783345,01_HOOFD_100,2010-12-01 09:27:52,2670601,deviant
2783345,01_HOOFD_110,2010-12-01 09:28:03,2670601,deviant
2783345,01_HOOFD_120,2010-12-01 09:28:06,2670601,deviant
2783345,01_HOOFD_130,2010-12-01 09:28:14,2670601,deviant
2783345,01_HOOFD_180,2010-12-01 09:28:21,2670601,deviant
2783345,01_HOOFD_190_1,2010-12-01 09:28:25,2670601,deviant
2783345,01_HOOFD_200,2010-12-01 09:30:11,2670601,deviant
2783345,08_AWB45_010,2010-12-01 09:30:35,2670601,deviant
2783345,08_AWB45_020_1,2010-12-01 09:30:39,2670601,deviant
2783345,08_AWB45_030,2010-12-01 09:33:03,2670601,deviant
2783345,08_AWB45_170,2010-12-01 09:36:08,2670601,deviant
2783345,01_HOOFD_130,2010-12-01 09:36:21,2670601,deviant
2783345,01_HOOFD_110,2010-12-01 09:36:39,2670601,deviant
2783345,01_HOOFD_120,2010-12-01 09:36:43,2670601,deviant
2783345,01_HOOFD_180,2010-12-01 09:36:55,2670601,deviant
2783345,01_HOOFD_190_1,2010-12-01 09:37:01,2670601,deviant
2783345,01_HOOFD_200,2010-12-01 09:37:29,2670601,deviant
2783345,01_HOOFD_205,2010-12-01 09:37:29,2670601,deviant
2783345,01_HOOFD_270,2010-12-01 09:37:35,2670601,deviant
2783345,01_HOOFD_250,2010-12-01 09:37:45,2670601,deviant
2783345,01_HOOFD_260,2010-12-01 09:37:49,2670601,deviant
2783345,09_AH_I_010,2010-12-01 09:37:57,2670601,deviant
2783345,01_HOOFD_370,2010-12-01 09:38:00,2670601,deviant
2783345,01_HOOFD_375,2010-12-01 09:38:00,2670601,deviant
2783345,01_HOOFD_380,2010-12-01 09:38:04,2670601,deviant
2783345,05_EIND_010,2010-12-01 09:38:28,2670601,deviant
2783345,01_HOOFD_050,2010-12-01 09:38:34,2670601,deviant
2783345,01_HOOFD_430,2010-12-01 09:38:59,2670601,deviant
2783345,01_HOOFD_470,2010-12-01 09:39:05,2670601,deviant
2783345,01_HOOFD_480,2010-12-01 09:39:10,2670601,deviant
2783345,01_HOOFD_490_1,2010-12-01 09:39:10,2670601,deviant
2783345,01_HOOFD_490_3,2010-12-05 23:00:00,560890,deviant
2783345,01_HOOFD_510_2,2010-12-05 23:00:00,560890,deviant
2783345,01_HOOFD_490_2,2010-12-06 11:19:25,560890,deviant
2783345,01_HOOFD_500,2010-12-06 11:19:37,560890,deviant
2783345,01_HOOFD_510_1,2010-12-06 11:30:23,560890,deviant
2783345,01_HOOFD_520,2010-12-06 11:30:41,560890,deviant
2783345,01_HOOFD_530,2010-12-14 23:00:00,560890,deviant
2794023,01_HOOFD_010,2010-10-11 22:00:00,560872,regular
2794023,01_HOOFD_015,2010-10-14 11:42:23,560872,regular
2794023,01_HOOFD_020,2010-10-14 11:43:34,560872,regular
2794023,01_HOOFD_040,2010-10-14 11:43:39,560872,regular
2794023,01_HOOFD_060,2010-10-14 11:43:49,560872,regular
2794023,01_HOOFD_065_2,2010-10-14 22:00:00,560872,regular
2794023,01_HOOFD_065_1,2010-10-15 10:53:09,560872,regular
2794023,01_HOOFD_100,2010-10-15 10:54:46,560872,regular
2794023,01_HOOFD_130,2010-10-15 10:55:28,560872,regular
2794023,01_HOOFD_050,2010-10-15 10:55:41,560872,regular
2794023,01_HOOFD_100,2010-10-26 22:00:00,560872,regular
2794023,06_VD_020_2,2010-11-28 23:00:00,560890,regular
2794023,06_VD_010,2010-11-29 11:31:49,560890,regular
2794023,06_VD_020_1,2010-11-29 11:31:51,560890,regular
2794023,06_VD_030,2010-11-29 11:33:14,560890,regular
2794023,06_VD_040,2010-11-29 11:33:20,560890,regular
2794023,06_VD_050,2010-11-29 11:55:44,560890,regular
2794023,06_VD_060,2010-11-29 11:55:51,560890,regular
2794023,06_VD_070,2010-11-29 23:00:00,560890,regular
2794023,05_EIND_020,2010-12-06 23:00:00,560890,regular
